GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
srs-green,ch.bfh.ti.soed.hs16.srs.green.db,CustomerDB,165,0,4,0,45,0,6,0,4,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.db,ResourceDB,214,0,6,0,59,0,8,0,5,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.model,Customer,3,34,0,2,1,12,1,7,1,6
srs-green,ch.bfh.ti.soed.hs16.srs.green.model,Reservation,0,43,0,0,0,18,0,9,0,9
srs-green,ch.bfh.ti.soed.hs16.srs.green.model,ResourceManager,0,29,0,4,0,5,0,4,0,2
srs-green,ch.bfh.ti.soed.hs16.srs.green.model,Resource,0,41,0,0,0,16,0,8,0,8
srs-green,ch.bfh.ti.soed.hs16.srs.green.model,SystemAdmin,3,13,0,0,1,3,1,2,1,2
srs-green,ch.bfh.ti.soed.hs16.srs.green.view,MyUI,181,0,6,0,32,0,11,0,8,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.view,MyUI.Reserve,193,0,2,0,35,0,2,0,1,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.view,MyUI.MyUIServlet,3,0,0,0,1,0,1,0,1,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.controller,ReservationService,3,0,0,0,1,0,1,0,1,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.controller,MyUIControllers,50,0,6,0,14,0,9,0,6,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.controller,LoginManager,3,0,0,0,1,0,1,0,1,0
srs-green,ch.bfh.ti.soed.hs16.srs.green.utility,SmallArgumentException,0,15,0,0,0,3,0,1,0,1
srs-green,ch.bfh.ti.soed.hs16.srs.green.utility,BigArgumentException,0,15,0,0,0,3,0,1,0,1
